gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,winner
18,6182.55,9478.2,1860.19,2041.36,3,3,50,50,6,1,60,63,8950,268,0,9542,628,15795,1623,-1
19,6291.1,35654.7,1703.9,2017.29,3,3,50,50,7,1,60,76,20191,715,0,24539,15451,71664,7869,-1
20,8660.3,35654.7,1412.1,2037.97,3,3,50,50,2,1,60,73,6117,274,0,6935,2948,70456,8581,-1
21,9906.05,9478.2,872.91,1499.04,3,3,50,50,2,1,60,89,7644,451,0,5905,1250,83974,21099,-1
22,16951.75,28071.1,949.86,1690.19,3,3,50,50,2,1,60,95,11474,600,0,17985,2922,162260,15703,-1
23,16951.75,19563.75,657.84,474.98,3,3,50,50,2,1,60,73,501,222,0,2639,181,36313,24248,-1
24,16951.75,19563.75,-364.95,-1183.72,3,3,50,50,2,1,60,68,547,121,0,8983,1115,46094,46777,-1
25,16951.75,19563.75,-340.78,-1420.44,3,2,50,50,2,1,60,62,639,145,0,1340,98,20604,11836,-1
26,18849.75,25562.35,656.71,-249.91,3,3,50,50,3,1,60,90,61464,4392,0,10263,8641,180755,106,-1
27,18849.75,25562.35,-1193.88,-1306.71,3,3,50,50,3,1,60,73,3299,2065,0,2573,362,57352,36059,-1
28,18849.75,25562.35,-1402.48,-1532.39,3,3,50,50,3,1,60,62,885,184,0,800,602,12865,16500,-1
29,18849.75,25562.35,-1161.74,-1462.25,3,3,50,50,3,1,60,80,915,428,0,2008,504,23382,10693,-1
30,18849.75,25562.35,-1281.5,-1393.42,3,3,50,50,2,1,60,82,2549,684,0,1975,1558,34648,11770,-1
31,18849.75,25562.35,-462.18,-1158.01,3,3,50,50,2,1,60,78,8550,1007,0,4430,3227,24322,7250,-1
32,18849.75,25562.35,-315.41,-846.19,3,3,50,50,2,1,60,66,923,447,0,4253,2635,11869,7013,-1
33,18849.75,25562.35,-429.32,-1128.26,3,3,50,50,2,1,60,72,2762,244,0,4382,1607,12726,18780,-1
34,18849.75,25562.35,274.14,-692.53,2,2,50,50,2,1,60,69,1766,118,0,1483,369,8424,985,-1
35,18849.75,25562.35,-36.77,-942.22,2,2,50,50,2,1,60,23,0,0,0,327,2135,0,11329,-1
36,18849.75,25562.35,-523.02,-1224.66,2,2,50,50,2,1,60,46,338,32,0,3278,1671,4731,14488,-1
37,18849.75,18772.95,-742.54,-1527.48,2,2,50,50,2,2,60,44,52,2,0,1203,1049,1846,8956,-1
38,18849.75,18772.95,-741.95,-1510.88,2,2,50,50,2,2,60,51,627,28,0,2257,1815,5994,5385,-1
39,18849.75,18772.95,-815.84,-1423.83,2,2,50,50,2,2,60,43,2022,46,0,699,3722,5348,5087,-1
40,18849.75,18772.95,-867.29,-1131.09,2,2,50,50,2,2,60,53,1111,26,0,699,3515,17493,7665,-1
41,18849.75,18772.95,-578.18,-780.86,3,3,50,50,2,2,60,49,1413,27,0,366,2536,13626,3126,-1
42,18849.75,18772.95,-396.08,-850.39,2,2,50,50,2,2,60,48,1371,97,0,858,2802,16245,4975,-1
43,18849.75,18772.95,-302.78,-1128.2,2,2,50,50,2,2,60,46,565,224,0,457,3480,14203,6828,-1
44,18849.75,18772.95,-481.98,-1209.24,2,2,50,50,2,2,60,54,1179,666,0,449,2745,18785,7834,-1
45,18849.75,18772.95,-578.14,-1313.52,2,2,50,50,2,2,60,20,472,107,0,152,1069,11246,6051,-1
46,17999.95,18772.95,-1173.87,-1696.13,2,2,50,50,1,2,60,33,1073,442,0,435,2022,16744,21920,-1
47,17999.95,18772.95,-812.83,-1419.37,2,2,50,50,1,2,60,56,5757,244,0,522,2357,32958,1254,-1
48,16951.75,18772.95,-800.48,-1438.1,2,2,50,50,2,2,60,15,10361,1469,0,20,157,2891,606,-1
49,16951.75,18772.95,-669.25,-1255.59,2,2,50,50,1,2,60,33,15986,1644,0,288,980,12718,1316,-1
50,16951.75,18772.95,-777.6,-829.28,2,2,50,50,1,1,60,33,3976,637,0,979,3856,20420,3208,-1
51,16951.75,18772.95,-539.74,-211.46,2,2,50,50,1,1,60,32,5258,642,0,89,1564,6850,457,-1
52,16951.75,18772.95,-610.8,-388.91,2,2,50,50,1,1,60,41,8380,1681,0,324,1545,13500,4903,-1
53,16951.75,18772.95,-604.54,-564.53,2,2,50,50,1,1,60,5,11109,3779,0,18,609,3443,251,-1
54,16951.75,18772.95,-636.71,-412.1,2,2,50,50,1,1,60,14,10300,4959,0,58,916,7439,174,-1
55,16951.75,18772.95,-722.92,-445.38,2,2,50,50,1,1,60,10,15569,5692,0,38,874,1771,176,-1
56,16951.75,18772.95,-706.26,-610.79,2,2,50,50,1,1,60,3,11002,4417,0,0,1006,113,73,-1
57,16951.75,18772.95,-767.14,-595.02,2,2,50,50,1,1,60,8,10531,6630,0,1,1234,188,232,-1
58,16951.75,18772.95,-466.54,-552.87,2,3,50,50,1,1,60,50,7561,2696,0,528,8866,11623,773,-1
59,15892.25,13326.2,-504.61,-614.33,2,2,50,50,1,1,60,21,8467,2695,0,41,2332,3272,201,-1
60,13594.1,13326.2,-521.61,-519.53,2,2,50,50,1,1,60,5,9925,2962,0,91,1673,110,388,-1
61,13594.1,13326.2,-451.74,-284.19,2,2,50,50,1,1,60,11,10054,1755,0,26,1694,128,42,-1
62,13594.1,13326.2,-301.09,-293.48,2,1,50,50,1,1,60,3,9453,1214,0,100,1267,146,0,-1
63,13594.1,13326.2,-374.31,-246.78,2,2,50,50,1,1,60,5,8811,1919,0,262,1950,57,290,-1
64,13594.1,13326.2,-123.33,-324.64,2,2,50,50,1,1,60,8,11368,1664,0,408,436,163,0,-1
65,13594.1,13326.2,-95.96,-345.16,2,2,50,50,1,1,60,4,10273,2321,0,180,1115,102,194,-1
66,13594.1,12031.05,17.19,-266.63,2,2,50,50,1,1,60,4,9828,2465,0,644,1945,546,285,-1
67,13594.1,6422.6,-72.7,-201.45,2,2,50,50,1,1,60,5,10239,3044,0,521,2223,416,225,-1
68,13594.1,6422.6,-147.66,-268.2,2,2,50,50,1,1,60,6,5143,1352,0,662,5733,2443,993,-1
69,13594.1,5145.6,-240.59,-354.03,1,2,50,50,1,11,60,1,8251,2077,0,281,3862,958,47,-1
70,13594.1,5145.6,-224.35,-247.82,2,2,50,50,1,10,60,2,5547,1298,0,617,4037,816,130,-1
71,13594.1,5145.6,-184.9,-324.37,2,1,50,50,1,6,60,1,5845,1619,0,287,2860,300,154,-1
72,13594.1,5145.6,-203.79,-330.49,1,1,50,50,1,6,60,0,6521,1176,0,23,3064,224,0,-1
73,5504.95,5145.6,-298.19,-384.63,1,1,50,50,9,4,60,0,4607,1163,0,126,4080,1114,75,-1
74,5504.95,5145.6,-262.89,-429.83,2,1,50,50,9,3,60,1,5495,1403,0,174,3775,1370,0,-1
75,5504.95,5145.6,-367.61,-422.4,1,2,50,50,7,3,60,1,6435,1959,0,165,2990,750,165,-1
76,5504.95,4587.05,-381.29,-413.23,1,1,50,50,7,6,60,0,7390,2349,0,312,2776,630,161,-1
77,5434.6,4587.05,-330.33,-309.19,1,2,50,50,7,6,60,4,6859,2235,0,315,2325,1211,193,-1
78,5434.6,4587.05,-391.2,-346.02,1,1,50,50,6,5,60,0,8717,2800,0,181,2343,1699,74,-1
79,5434.6,4587.05,-452.23,-331.8,2,2,50,50,6,4,60,15,12156,3620,0,1052,3739,4661,460,-1
80,5434.6,4587.05,-628.75,-473.04,2,2,50,50,6,3,60,6,9256,3858,0,1047,7915,4245,393,-1
81,5434.6,4587.05,-645.66,-503.35,2,1,50,50,6,3,60,2,9420,3629,0,823,4148,2092,77,-1
82,5434.6,4587.05,-652.37,-415.67,1,1,50,50,5,3,60,0,6830,2774,0,168,2615,464,78,-1
83,5434.6,4587.05,-670.53,-360.62,2,1,50,50,5,3,60,1,4459,1705,0,179,4675,1336,405,-1
84,5434.6,4587.05,-759.82,-313.26,1,2,50,50,5,3,60,1,3470,1479,0,288,6407,1675,196,-1
85,5434.6,4002.4,-746.41,-277.93,1,1,50,50,4,3,60,0,1204,397,0,283,5363,2593,188,-1
86,5434.6,4002.4,-667.63,-407.95,1,1,50,50,4,3,60,0,1205,614,0,475,6077,2417,1704,-1
87,5434.6,4002.4,-671.22,-316.23,1,1,50,50,4,3,60,0,922,360,0,230,4016,1354,193,-1
88,5434.6,4002.4,-622.27,-311.72,1,1,50,50,4,3,60,0,822,303,0,448,4804,1560,223,-1
89,5434.6,4002.4,-544.75,-222.07,1,1,50,50,4,3,60,0,1017,609,0,340,4585,2050,898,-1
90,5434.6,4002.4,-522.94,-352.33,1,2,50,50,4,3,60,1,3534,1544,0,1294,6230,4385,679,-1
91,4778.4,4002.4,-501.62,-333.53,1,1,50,50,4,3,60,0,2064,720,0,1230,4155,4396,358,-1
92,4778.4,3887.4,-464.66,-480.83,1,2,50,50,4,2,60,1,1238,616,0,481,4719,1648,1156,-1
93,4625.4,3887.4,-401.15,-432.6,1,1,50,50,3,2,60,0,1727,996,0,119,4322,732,64,-1
94,4625.4,3887.4,-399.08,-365.84,1,1,50,50,3,2,60,0,4709,2702,0,97,3117,422,45,-1
95,4625.4,3887.4,-334.38,-409.78,1,1,50,50,3,2,60,0,4317,2476,0,75,3672,619,86,-1
96,4625.4,3887.4,-394.78,-433.44,1,1,50,50,3,2,60,0,3876,2529,0,38,3397,548,77,-1
97,4559.35,3887.4,-392.12,-332.39,1,1,50,50,2,2,60,0,2227,1367,0,52,4123,765,34,-1
98,4559.35,3887.4,-361.41,-280.53,1,1,50,50,2,2,60,0,3557,2286,0,37,3679,834,4,-1
99,4559.35,3887.4,-334.23,-280.43,1,1,50,50,2,2,60,0,3623,2269,0,36,3012,1472,122,-1
100,4559.35,3887.4,-292.82,-284.47,1,1,50,50,2,2,60,0,3676,2370,0,33,3754,1274,33,-1
101,4559.35,3887.4,-314.39,-167.14,1,1,50,50,2,2,60,0,4396,2961,0,84,4126,1778,164,-1
102,4559.35,3887.4,-412.15,-197.8,1,1,50,50,2,2,60,0,7316,4728,0,235,3982,2069,0,-1
103,4559.35,3887.4,-417.89,-217.82,1,1,50,50,2,2,60,0,5144,3389,0,166,2984,1902,81,-1
104,4559.35,3887.4,-369.7,-170.12,2,1,50,50,1,2,60,2,3442,2186,0,132,2577,1828,37,-1
105,4559.35,3887.4,-356.38,-112.33,2,2,50,50,1,4,60,3,3960,2284,0,90,2813,1398,41,-1
106,4559.35,3547.0,-349.17,-95.17,2,2,50,50,1,4,60,2,3306,1972,0,63,2736,1782,40,-1
107,4559.35,3547.0,-268.29,-48.61,2,2,50,50,1,4,60,2,1082,561,0,32,2267,2633,18,-1
108,4559.35,3547.0,-147.47,16.74,2,2,50,50,3,5,60,5,1360,710,0,62,1191,3391,0,-1
109,4559.35,3676.45,-33.91,57.33,2,2,50,50,4,6,60,6,2132,1098,0,56,1288,2967,23,-1
110,4559.35,3885.0,27.09,132.63,2,2,50,50,3,7,60,1,2406,1454,0,41,1174,2905,0,-1
111,4559.35,3885.0,57.38,144.7,1,2,50,50,3,5,60,1,2496,1620,0,28,453,3636,24,-1
112,4559.35,3885.0,77.93,188.89,2,2,50,50,3,5,60,7,2017,1311,0,110,1110,3514,134,-1
113,4559.35,4358.75,144.4,277.46,1,2,50,50,3,6,60,4,1018,715,0,38,929,3872,92,-1
114,4559.35,4358.75,184.38,378.17,2,2,50,50,3,8,60,5,1433,896,0,16,1093,3702,67,-1
115,4559.35,4358.75,219.81,411.16,2,2,50,50,4,8,60,5,1319,848,0,27,1408,3558,94,-1
116,4559.35,4358.75,304.77,446.95,2,2,50,50,4,9,60,4,1321,944,0,53,1690,3204,126,-1
117,4559.35,4358.75,444.28,462.59,2,1,50,50,6,9,60,2,1938,1163,0,30,1374,3529,103,-1
118,4559.35,4358.75,481.44,490.45,2,2,50,50,8,9,60,9,1966,1107,0,25,1745,3397,63,-1
119,4559.35,4358.75,546.34,536.19,2,2,50,50,11,11,60,10,1980,809,0,41,1383,3348,53,-1
120,4559.35,4520.15,618.45,562.64,2,2,50,50,12,10,60,14,1489,937,0,23,1794,3363,96,-1
121,4559.35,4520.15,655.71,602.82,2,2,50,50,14,12,60,17,1593,868,0,32,1806,3249,264,-1
122,4559.35,4520.15,713.38,659.81,2,2,50,50,16,14,60,13,1200,585,0,49,1897,3615,157,-1
123,4559.35,4520.15,790.97,729.06,2,2,50,50,21,17,60,15,1807,776,0,36,1655,3146,175,-1
124,4681.3,4520.15,868.01,803.64,2,2,50,50,25,18,60,18,1944,702,0,32,1322,3482,0,-1
125,4681.3,4520.15,889.35,842.11,2,2,50,50,25,19,60,11,1182,289,0,42,1847,3267,73,-1
126,4681.3,4520.15,1022.18,860.59,2,2,50,50,25,24,60,29,1847,632,0,115,1631,3244,493,-1
127,4681.3,4520.15,1069.0,959.51,2,2,50,50,25,25,60,33,1150,448,0,72,2287,2840,69,-1
128,4681.3,4520.15,1143.96,1049.28,2,2,50,50,25,25,60,35,1342,438,0,143,1939,3328,243,-1
129,4681.3,4520.15,1185.81,1170.52,2,2,50,50,25,25,60,31,1076,253,0,68,1964,3282,68,-1
130,4681.3,4683.65,1327.97,1338.55,2,2,50,50,25,25,60,48,863,277,0,137,1327,3913,139,-1
131,4681.3,4683.65,1418.87,1430.32,2,2,50,50,25,25,60,41,822,242,0,60,1258,3678,270,-1
132,4681.3,4683.65,1509.33,1497.62,2,2,50,50,25,25,60,51,1861,575,0,84,1477,3184,151,-1
133,4583.2,4705.5,1623.09,1635.78,2,2,50,50,25,25,60,57,1270,448,0,81,1014,3720,20,-1
134,4706.0,4705.9,1710.37,1686.09,2,2,50,50,25,25,60,59,747,189,0,44,1247,4025,134,-1
135,9543.55,9196.05,1796.15,1846.6,3,3,50,50,1,1,60,55,804,147,0,155,957,4422,357,-1
136,9543.55,9196.05,1967.8,1997.68,3,3,50,50,1,1,60,70,352,180,0,143,1719,4104,339,-1
137,9543.55,9196.05,2133.27,2108.6,3,3,50,50,1,1,60,71,580,213,0,253,2510,4372,367,-1
138,9543.55,9196.05,2323.26,2282.29,3,3,50,50,2,2,60,91,639,336,0,360,3166,3892,484,-1
139,9543.55,9196.05,2496.56,2453.8,3,3,50,50,3,2,60,79,392,72,0,99,3228,2670,53,-1
140,9244.6,9196.05,2589.94,2495.92,3,2,50,50,2,2,60,76,442,63,0,183,2407,3461,335,-1
141,9244.6,9196.05,2643.15,2564.25,3,3,50,50,2,2,60,76,585,163,0,213,3170,2855,221,-1
142,9244.6,9196.05,2756.76,2771.24,3,3,50,50,2,2,60,70,999,259,0,127,2816,2653,77,-1
143,9244.6,9196.05,2829.99,2763.17,2,2,50,50,2,2,60,66,2177,409,0,139,2854,1972,79,-1
144,9244.6,9196.05,2865.34,2799.82,2,2,50,50,2,1,60,55,2448,430,0,190,2232,1864,188,-1
145,9244.6,9196.05,2910.38,2832.29,3,3,50,50,2,1,60,61,1924,191,0,271,915,3051,277,-1
146,9244.6,4845.8,2994.22,2840.57,2,2,50,50,2,25,60,69,2688,461,0,181,739,2971,68,-1
147,9244.6,4845.8,2970.8,2862.61,2,2,50,50,2,25,60,44,2719,555,0,260,671,2667,25,-1
148,9244.6,9439.8,3028.13,2902.91,2,3,50,50,2,1,60,51,2521,482,0,257,575,3063,153,-1
149,9244.6,9439.8,3032.84,2849.17,2,2,50,50,2,1,60,46,2604,389,0,285,508,2868,38,-1
150,9244.6,9439.8,3015.82,2901.05,2,2,50,50,2,1,60,42,1798,206,0,177,467,3366,110,-1
151,9244.6,9439.8,3005.83,2880.11,2,2,50,50,2,1,60,33,1276,123,0,168,387,3697,230,-1
152,9244.6,9439.8,2997.58,2899.73,2,2,50,50,2,1,60,48,2850,329,0,276,760,2691,15,-1
153,9244.6,9439.8,3022.76,2896.47,2,2,50,50,2,1,60,63,564,86,0,171,552,3958,161,-1
154,9244.6,9439.8,3156.81,2947.61,3,2,50,50,3,1,60,66,1229,121,0,237,417,3548,39,-1
155,9244.6,9439.8,3142.71,3069.58,2,2,50,50,3,1,60,63,569,291,0,253,631,3674,90,-1
156,9244.6,9445.2,3183.7,3197.35,3,3,50,50,2,2,60,72,853,438,0,467,805,3325,31,-1
157,9244.6,9445.2,3281.68,3261.42,3,2,50,50,2,2,60,76,1302,664,0,435,692,3968,178,-1
158,9078.5,4837.8,3383.66,3273.67,2,3,50,50,1,25,60,75,1774,1000,0,856,1298,5090,733,-1
159,9573.35,9478.35,3445.22,3426.19,3,3,50,50,1,2,60,73,581,331,0,77,985,3593,27,-1
160,9573.35,9478.35,3510.95,3461.05,2,2,50,50,1,2,60,78,352,154,0,85,1159,3673,72,-1
161,9573.35,9478.35,3574.33,3515.97,2,2,50,50,1,2,60,62,264,88,0,36,822,3908,6,-1
162,9573.35,9478.35,3623.95,3490.25,2,2,50,50,1,2,60,72,388,191,0,81,1476,3650,37,-1
163,9573.35,9478.35,3542.13,3517.53,2,2,50,50,1,2,60,68,408,190,0,55,1659,3593,848,-1
164,9573.35,9478.35,3576.89,3536.92,2,2,50,50,1,2,60,65,420,52,0,85,1305,3694,153,-1
165,9573.35,9478.35,3645.36,3657.59,3,3,50,50,1,3,60,81,335,107,0,153,1423,3390,18,-1
166,9573.35,9478.35,3651.74,3644.13,2,2,50,50,1,3,60,70,207,107,0,69,1158,3454,474,-1
167,4865.9,9478.35,3650.01,3623.65,2,2,50,50,25,2,60,75,295,181,0,65,1806,3386,167,-1
168,4865.9,9478.35,3609.57,3650.07,2,3,50,50,25,2,60,75,377,251,0,66,1619,3510,213,-1
169,4857.7,9478.35,3653.93,3707.32,3,2,50,50,25,2,60,74,395,153,0,70,1725,3466,81,-1
170,9852.0,9478.35,3583.98,3707.36,3,3,50,50,1,2,60,72,499,287,0,82,1753,3374,346,-1
171,9852.0,9478.35,3565.9,3738.0,2,2,50,50,1,2,60,71,149,71,0,30,455,3603,521,-1
172,9852.0,9478.35,3561.17,3782.04,3,2,50,50,1,2,60,65,247,37,0,21,483,4027,168,-1
173,9852.0,9478.35,3641.68,3789.41,2,2,50,50,1,2,60,76,475,216,0,17,844,4001,274,-1
174,9852.0,9478.35,3707.76,3791.28,3,3,50,50,1,2,60,77,279,95,0,23,349,4620,79,-1
175,9852.0,9478.35,3677.06,3738.92,2,2,50,50,1,2,60,38,251,23,0,9,194,4821,139,-1
176,9852.0,9478.35,3562.15,3734.55,2,2,50,50,1,2,60,60,368,140,0,14,148,4731,822,-1
177,9852.0,9389.6,3561.04,3769.1,2,2,50,50,1,1,60,61,140,59,0,76,36,4413,205,-1
178,9852.0,9389.6,3457.61,3696.79,2,2,50,50,1,1,60,41,231,82,0,5,35,4924,76,-1
179,4916.0,9389.6,3450.16,3693.28,2,2,50,50,25,1,60,62,321,45,0,33,68,4815,172,-1
180,4916.0,10042.8,3408.99,3615.22,3,3,50,50,25,2,60,40,186,46,0,79,126,4939,151,-1
181,4916.0,10042.8,3355.07,3590.85,2,2,50,50,25,2,60,38,253,21,0,10,82,4550,168,-1
182,7213.8,10042.8,3258.41,3492.88,3,2,50,50,1,2,60,50,406,165,0,31,110,5310,624,-1
183,7213.8,10042.8,3190.95,3509.69,2,2,50,50,1,2,60,37,323,63,0,11,20,4867,168,-1
184,7213.8,10042.8,3167.6,3486.63,2,2,50,50,1,2,60,38,272,34,0,15,18,5275,355,-1
185,7213.8,10042.8,3165.62,3338.49,2,2,50,50,1,2,60,19,147,24,0,9,8,4715,21,-1
186,7213.8,10042.8,3059.0,3195.14,2,2,50,50,1,2,60,12,133,22,0,2,7,4696,478,-1
187,7213.8,10042.8,2982.36,3068.95,1,2,22,50,1,2,32,4,308,18,0,1,0,3364,277,-1
188,7213.8,10042.8,2852.66,2903.25,1,1,20,20,1,2,0,0,125,0,0,0,0,1947,75,-1
189,7213.8,10042.8,2701.51,2774.1,1,1,22,20,1,2,2,0,125,0,0,0,0,2027,75,-1
190,7213.8,10042.8,2608.84,2688.94,1,1,26,20,1,2,6,0,129,3,0,0,0,2223,75,-1
191,7213.8,10042.8,2553.78,2599.01,1,1,20,20,1,2,0,0,125,0,0,0,0,1928,69,-1
192,7213.8,10042.8,2471.71,2510.5,1,1,21,20,1,2,1,0,130,0,0,0,0,2040,71,-1
193,7213.8,10042.8,2179.37,2189.86,2,1,23,20,1,1,3,1,140,126,0,0,0,1020,2640,-1
194,4916.0,10042.8,2088.58,2135.15,2,1,32,20,25,1,12,1,259,10,0,0,0,2368,212,-1
195,4916.0,10042.8,2123.85,2036.01,2,1,27,20,25,1,7,1,137,0,0,0,0,2226,136,-1
196,4916.0,4935.6,2112.64,1933.22,1,1,27,20,25,25,7,0,235,19,0,0,0,1903,0,-1
197,4916.0,4935.6,1878.8,1655.51,2,2,27,25,25,25,12,3,146,131,0,0,1,1214,3030,-1
198,4916.0,4859.4,1825.69,1679.79,1,1,31,25,25,25,16,0,256,1,0,0,0,2668,111,-1
199,4916.0,4859.4,1825.51,1622.41,1,1,21,20,25,25,1,0,250,126,0,0,0,2007,148,-1
200,4916.0,4859.4,1829.35,1640.76,2,2,21,50,25,25,31,2,276,124,0,0,0,2891,926,-1
201,4916.0,4859.4,1730.93,1671.19,1,1,22,20,25,25,2,0,125,0,0,0,0,2015,71,-1
202,4916.0,4859.4,1731.68,1694.54,1,1,20,20,25,25,0,0,126,0,0,0,0,1983,66,-1
203,4916.0,4859.4,1628.26,1706.88,1,1,20,20,25,25,0,0,125,0,0,0,55,1865,75,-1
204,4916.0,4859.4,1570.95,1699.44,1,1,35,20,25,25,15,0,271,11,0,0,50,2501,134,-1
205,4916.0,4801.1,1238.88,1391.43,1,1,33,20,25,25,13,0,250,120,0,0,1,1361,3260,-1
206,4916.0,4801.1,1320.43,1450.82,2,1,28,29,25,25,17,2,307,17,0,0,3,2770,95,-1
207,4916.0,4801.1,1343.54,1443.99,2,1,28,20,25,25,8,1,256,4,0,0,1,2352,137,-1
208,4916.0,4801.1,1366.18,1449.02,1,1,21,20,25,23,1,0,125,0,0,0,0,1976,75,-1
209,4916.0,4801.1,1078.15,1177.63,1,1,21,20,25,21,1,0,126,113,0,0,0,1019,2592,-1
210,4916.0,4801.1,1146.39,1280.2,2,2,50,50,24,22,60,3,214,60,0,0,17,4610,54,-1
211,4916.0,4801.1,1209.39,1281.49,2,2,28,50,25,20,38,5,349,43,0,1,15,3896,31,-1
212,4916.0,4801.1,1256.64,1336.09,2,2,50,50,25,22,60,8,194,52,0,2,97,4915,80,-1
213,4916.0,4801.1,1265.92,1378.97,2,2,21,50,25,24,31,4,434,104,0,0,6,3169,254,-1
214,4916.0,4801.1,1263.27,1322.04,2,2,50,50,24,19,60,9,366,102,0,0,6,4467,129,-1
215,4916.0,4801.1,1357.25,1370.62,2,2,50,50,25,17,60,15,407,95,0,1,26,4728,0,-1
216,4733.8,4801.1,1378.28,1386.45,2,2,50,50,24,15,60,4,393,72,0,0,38,4793,0,-1
217,4733.8,4801.1,1386.91,1406.84,2,2,50,50,24,16,60,9,457,75,0,2,99,4633,253,-1
218,4733.8,4801.1,1369.96,1405.16,2,2,50,50,22,15,60,3,293,119,0,1,61,4989,114,-1
219,4733.8,4801.1,1492.27,1399.61,2,2,50,50,24,15,60,6,452,139,0,0,71,4614,27,-1
220,4733.8,4801.1,1492.77,1474.28,1,2,50,50,23,17,60,7,592,136,0,0,40,4802,0,-1
221,4733.8,4801.1,1491.65,1493.01,2,2,50,50,24,18,60,3,639,116,0,20,246,4782,92,-1
222,4733.8,4689.3,1498.34,1458.98,2,2,50,50,25,15,60,3,707,139,0,6,62,4644,66,-1
223,4733.8,4689.3,1551.36,1491.6,2,2,50,50,25,17,60,8,993,301,0,0,37,4529,0,-1
224,4733.8,4818.0,1558.66,1530.89,2,2,50,50,25,19,60,6,665,143,0,4,59,4567,0,-1
225,4733.8,4818.0,1565.82,1562.5,2,2,50,50,25,21,60,12,917,224,0,2,48,4765,178,-1
226,4733.8,4818.0,1634.86,1611.01,2,2,50,39,25,25,49,10,2515,498,0,0,46,2704,1121,-1
227,4733.8,4818.0,1707.41,1704.48,2,2,50,50,25,25,60,17,987,300,0,54,365,4214,135,-1
228,4776.5,4818.0,1859.25,1903.54,2,2,50,50,25,25,60,41,857,41,0,15,260,4438,38,-1
229,4835.0,4818.0,1991.19,2011.64,2,2,21,50,25,25,31,41,1094,76,0,4,118,2988,0,-1
230,4835.0,4818.0,2110.65,2084.8,2,2,50,50,25,25,60,63,3075,92,0,73,626,4487,109,-1
231,4861.7,4809.0,2226.1,2187.81,2,2,50,50,25,25,60,62,1770,58,0,0,259,4349,48,-1
232,4861.7,4809.0,2337.2,2289.84,2,2,50,50,25,25,60,32,2279,247,0,41,381,3804,81,-1
233,4861.7,4810.9,2431.33,2378.4,2,2,50,50,25,25,60,45,2315,98,0,9,190,3863,23,-1
234,4861.7,4810.9,2527.39,2520.16,2,2,50,50,25,25,60,46,1547,176,0,8,233,4219,22,-1
235,9927.6,4810.9,2691.44,2593.64,3,2,50,50,2,25,60,51,1528,131,0,7,87,4263,0,-1
236,9927.6,4810.9,2763.46,2634.28,2,2,39,35,2,25,34,35,810,40,0,5,35,3208,252,-1
237,9927.6,4810.9,2803.14,2699.96,2,2,50,30,2,25,40,48,859,39,0,4,71,3479,16,-1
238,9927.6,4882.0,2842.68,2762.07,2,2,50,50,2,25,60,52,1000,34,0,32,135,4287,0,-1
