gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,teammates_reach,winner
1700,5230.3,10164.3,3911.06,4072.96,2,2,20,50,25,1,30,25,399,399,0,34,0,0,0,8168,-1
1750,10213.8,10021.8,3685.76,3694.99,2,2,21,21,1,1,2,19,0,0,0,0,0,0,0,5225,-1
1800,5196.0,5300.0,3208.07,3198.12,2,2,20,20,25,25,0,11,2,2,0,0,0,0,0,4981,-1
1850,5195.3,5297.0,3507.86,3472.4,2,2,20,21,25,25,1,23,681,681,0,0,0,0,0,4397,-1
1900,9772.5,10263.6,4320.11,4415.62,3,3,50,50,3,3,60,88,1848,737,105,256,22,1975,0,8202,-1
1950,10396.6,10307.4,3960.35,3855.84,2,2,50,50,6,1,60,69,1793,1681,20,57,10,877,0,10138,-1
2000,10119.4,9998.3,4563.55,4568.02,2,2,50,50,2,3,60,68,2424,1972,40,166,12,1524,0,8413,-1
2050,9146.9,9435.0,3965.84,4169.75,2,2,50,50,2,1,60,66,2825,445,2,338,45,2554,0,1298,-1
2100,9901.6,10727.3,4432.19,4566.98,2,2,50,50,1,3,60,63,2190,436,0,716,1,2164,3,8394,-1
2150,10205.2,10727.3,4602.2,4548.5,2,2,38,25,5,2,23,54,1,0,0,2,0,51,0,7392,-1
2200,10331.5,10984.4,5004.68,4865.81,3,2,50,50,8,3,60,89,232,16,0,195,6,621,0,12225,-1
2250,10282.5,9649.6,4301.12,4264.14,2,2,22,22,2,1,4,25,0,0,0,3,0,0,0,5427,-1
2300,10282.5,10535.7,4122.72,4091.03,2,3,50,50,5,6,60,76,1,1,0,17,0,0,0,11996,-1
2350,9904.7,10236.7,3144.37,3051.77,2,2,20,20,1,1,0,7,0,0,0,0,0,0,0,4960,-1
2400,5189.2,5536.1,2886.42,2790.43,2,2,50,50,25,25,60,34,0,0,0,3,0,0,0,5370,-1
2450,5169.1,5137.8,2279.03,2296.1,1,2,20,20,25,25,0,1,0,0,0,0,0,0,0,4992,-1
2500,5142.0,5191.4,2598.8,2589.33,2,2,20,20,25,25,0,7,0,0,0,0,0,0,0,4992,-1
2550,5450.0,5466.0,2720.94,2758.52,2,2,20,20,25,25,0,10,0,0,0,0,0,0,0,5017,-1
2600,5218.0,5230.0,3074.75,2952.21,2,2,20,20,25,25,0,12,12,0,0,0,0,0,0,5006,-1
2650,5218.0,5145.3,2851.17,2831.72,2,2,20,20,25,25,0,10,0,0,0,0,0,0,0,4974,-1
2700,10667.2,10028.8,3369.05,3223.42,2,2,20,20,1,2,0,23,0,0,0,3,0,0,0,5252,-1
2750,5466.0,5974.0,3861.93,3768.5,2,2,20,20,25,25,0,28,4,2,0,24,0,0,0,5130,-1
2800,11073.1,5634.0,3774.0,3685.34,2,2,20,20,1,25,0,23,0,0,0,7,0,0,0,5479,-1
2850,5670.0,5619.7,3238.89,3445.25,2,2,20,20,25,25,0,16,8,0,0,162,0,0,0,5162,-1
2900,11070.0,10887.6,4979.51,4827.33,2,2,50,50,6,3,60,84,1610,320,1,255,14,551,0,14192,-1
2950,11490.7,10337.1,5031.31,4938.1,2,2,50,50,4,3,60,74,5768,598,0,1377,66,2119,0,9741,-1
3000,10973.3,12476.8,4346.07,4424.24,2,2,50,50,3,1,60,62,3951,770,5,823,141,1357,1,4229,-1
3050,10917.0,11214.1,3460.78,3406.89,2,3,50,50,3,2,60,45,1068,251,3,549,35,547,0,9183,-1
3100,9501.2,5476.5,4053.13,3868.7,2,2,50,50,2,25,60,63,7413,722,6,936,30,397,1,3175,-1
3150,10072.5,10189.0,4505.14,4467.73,2,3,50,50,4,8,60,65,2922,445,9,792,65,989,2,7821,-1
3200,10130.4,9981.2,4205.43,4273.31,2,2,23,26,2,2,9,34,49,10,8,37,68,25,0,5955,-1
3250,10821.8,10609.5,4806.39,4720.95,2,2,50,50,7,2,60,68,2182,2062,42,678,140,186,2,8453,-1
3300,10458.9,11095.2,4979.19,4947.68,3,3,50,46,6,5,56,75,291,103,6,265,33,183,0,10850,-1
3350,10377.6,10240.7,5001.26,4995.63,3,3,22,21,5,6,3,38,14,2,0,324,26,0,0,4379,-1
3400,10145.3,10061.9,4261.67,4163.38,2,2,50,50,2,1,60,54,2945,895,33,516,23,537,0,7797,-1
3450,10007.7,5181.7,4298.86,4295.84,2,2,50,50,1,25,60,73,6078,613,1,866,59,451,1,4488,-1
3500,9940.8,10938.1,4118.7,4052.2,2,2,20,21,4,1,1,35,2939,456,0,466,0,93,0,1099,-1
3550,10387.6,9740.5,4280.57,4142.78,2,2,29,23,1,1,12,30,502,25,2,1134,0,118,1,3632,-1
3600,5372.0,5236.6,3462.78,3159.59,2,2,50,50,25,25,60,38,6774,1677,2,830,16,278,0,3778,-1
3650,5082.1,8787.4,2976.91,2909.62,2,2,50,50,25,1,60,24,5756,2121,1,973,11,36,0,4590,-1
3700,5204.7,14444.0,4154.22,4203.46,2,2,50,50,25,1,60,57,6851,639,106,689,9,494,1,4397,-1
3750,5000.0,5090.2,3096.4,3148.71,2,2,50,50,25,25,60,34,10746,1814,0,231,114,67,1,999,-1
3800,5140.4,5111.1,3147.88,3044.65,2,2,20,26,25,25,6,22,4488,1110,0,162,1,24,0,864,-1
3850,5111.2,5065.3,3014.96,2705.88,2,2,50,50,25,25,60,26,9178,4762,0,323,102,158,4,2247,-1
3900,5073.7,10051.8,1948.01,2239.74,2,2,50,20,25,1,30,19,7011,2406,0,560,1,9,0,498,-1
3950,5073.7,5081.3,1003.1,1545.0,2,2,50,50,25,25,60,9,8071,4927,0,1216,3,15,1,1791,-1
4000,5127.0,5024.0,1627.43,1412.79,2,2,20,20,25,25,0,9,2264,1120,0,911,0,2,0,869,-1
4050,9917.6,10077.6,1771.62,1869.36,3,3,50,50,1,1,60,30,6971,1886,0,839,21,133,0,3743,-1
4100,5143.1,10199.7,3793.44,3569.95,2,3,50,50,25,2,60,37,3375,933,0,1772,2,364,0,5114,-1
4150,5212.6,5195.0,4021.99,4027.07,2,2,21,20,25,25,1,30,4002,389,0,402,1,16,0,251,-1
4200,10389.0,10530.6,4234.12,4268.12,2,2,21,20,2,1,1,33,2986,428,0,622,15,132,3,819,-1
4250,10389.0,5187.5,3904.55,3923.65,2,2,20,20,1,25,0,32,3161,382,0,469,3,97,0,774,-1
4300,10081.3,9449.7,4062.48,3919.57,2,2,20,20,1,1,0,24,1430,174,0,462,12,202,0,2888,-1
4350,9466.8,5212.0,3486.52,3387.16,2,2,20,20,1,25,0,27,2361,437,0,233,8,162,1,2566,-1
4400,10084.7,5250.4,3239.3,3044.54,2,2,20,20,2,25,0,21,2985,1154,0,198,23,23,0,1502,-1
4450,9934.7,5311.2,2811.11,2534.49,2,2,24,20,1,25,4,17,2889,348,0,443,179,2,0,1296,-1
4500,5415.0,5515.0,2411.95,2613.85,2,2,20,20,25,25,0,20,2735,532,0,382,7,52,0,1631,-1
4550,5260.0,10289.6,2740.77,2716.49,2,2,20,20,25,1,0,23,3027,1162,0,541,94,69,0,968,-1
4600,10579.5,5101.1,2352.16,2497.8,2,2,21,21,1,25,2,15,3097,319,0,550,149,13,0,697,-1
4650,10000.0,9859.8,2571.76,2419.33,2,2,20,21,3,1,1,5,826,723,0,1579,211,11,4,678,-1
4700,5420.2,5092.7,2151.34,2328.01,2,2,24,37,25,25,21,22,3232,1139,18,1329,218,76,0,971,-1
4750,5207.8,5188.7,2454.33,2433.96,2,2,21,20,25,25,1,19,523,227,0,1715,166,50,1,662,-1
4800,5165.3,5230.0,3108.56,2951.75,2,2,32,34,25,25,26,24,2259,660,0,1456,753,50,2,753,-1
4850,10275.4,5265.4,3512.7,3616.44,2,2,50,50,2,25,60,66,2591,882,0,1859,1049,496,2,2357,-1
4900,11414.7,12119.8,3911.74,3991.89,2,2,22,25,2,2,7,29,1642,456,0,1106,510,217,3,666,-1
4950,10833.5,10181.5,4268.44,4361.06,3,3,50,50,3,6,60,64,2083,718,0,1326,997,404,1,5410,-1
