gen,best_a,best_b,mean_a,mean_b,max_level_a,max_level_b,team_a_size,team_b_size,n_elite_a,n_elite_b,nb_fork,nb_incantation,nb_broadcast,nb_neg_broadcast,nb_pos_broadcast,useful_drops,useless_drops,objective_prog,objective_failed,teammates_reach,winner
2700,9905.9,10049.9,3422.88,3487.51,2,2,50,50,2,4,60,30,0,0,0,1,3,0,0,12393,-1
2750,9923.9,9623.9,3473.49,3704.89,2,2,50,50,5,5,60,41,0,0,0,0,5,0,0,12364,-1
2800,9872.8,9622.6,3515.8,3647.2,2,2,50,50,1,1,60,46,0,0,0,0,4,0,0,12377,-1
2850,9949.7,9571.7,3540.04,3471.37,2,2,50,50,2,3,60,30,0,0,0,0,26,0,0,12345,-1
2900,9621.2,4823.5,3286.3,3086.5,2,2,50,50,2,25,60,41,0,0,0,1,57,0,0,12247,-1
2950,4877.9,9722.8,4017.69,4183.55,2,2,50,50,25,5,60,53,0,0,0,34,262,0,0,11659,-1
3000,9321.9,9587.8,4011.37,4147.91,3,3,50,50,2,4,60,48,0,0,0,2,11,0,0,12316,-1
3050,9570.2,9768.6,4263.04,4138.0,3,2,50,50,3,2,60,61,0,0,0,10,143,0,0,12339,-1
3100,9859.5,9930.4,4255.11,4475.63,3,3,50,50,5,9,60,67,0,0,0,377,1072,0,0,11560,-1
3150,10427.5,9999.4,4309.95,4318.09,3,3,50,50,6,5,60,48,0,0,0,30,160,0,0,12844,-1
3200,9917.6,10001.7,3828.29,3852.57,3,2,50,50,6,4,60,40,0,0,0,10,43,0,0,12469,-1
3250,10132.0,10161.4,4017.08,4075.21,3,3,50,50,5,6,60,54,0,0,0,185,524,0,0,12280,-1
3300,10124.0,9758.4,4235.58,4061.21,3,2,50,50,8,5,60,53,0,0,0,244,403,0,0,12540,-1
3350,10098.9,10780.7,4357.54,4161.94,3,3,50,50,6,2,60,59,0,0,0,246,473,0,0,15765,-1
3400,10098.7,9956.1,4539.91,4398.11,3,3,50,50,14,7,60,71,5,0,0,638,1721,0,0,11909,-1
3450,13667.5,13022.4,4505.23,4415.35,3,3,50,50,1,1,60,66,0,0,0,420,1161,0,0,12952,-1
3500,10007.9,10218.7,4259.42,4284.93,3,2,50,50,5,10,60,64,9,0,0,144,2009,0,0,14601,-1
3550,9738.0,10409.5,4293.01,4188.33,3,3,50,50,7,2,60,70,0,0,0,430,2412,0,0,18723,-1
3600,9956.5,9712.1,4536.54,4465.65,3,2,50,50,3,1,60,65,0,0,0,231,85,0,0,13221,-1
3650,10029.1,9821.9,4601.46,4620.04,3,3,50,50,9,8,60,72,6,0,0,318,670,73,0,11447,-1
3700,9895.8,10019.1,4567.04,4676.49,2,2,50,50,5,9,60,64,0,0,0,27,46,0,0,12144,-1
3750,9818.0,9918.5,4770.06,4616.87,3,3,50,50,13,7,60,71,0,0,0,78,288,0,0,11610,-1
3800,9908.2,9863.2,4711.22,4617.03,3,3,50,50,12,6,60,74,0,0,0,98,585,0,0,11609,-1
3850,10002.6,9861.9,4620.96,4680.66,2,2,50,50,6,8,60,69,0,0,0,35,209,0,0,12403,-1
3900,10110.0,9658.5,4796.04,4699.38,3,3,50,50,14,11,60,68,0,0,0,99,299,0,0,11978,-1
3950,9884.8,9911.4,4662.11,4666.82,3,3,50,50,6,8,60,63,0,0,0,97,287,0,0,12152,-1
4000,10186.2,9860.9,4635.5,4716.76,2,3,50,50,10,13,60,69,0,0,0,33,782,0,0,11877,-1
4050,9867.8,9559.8,4642.12,4367.63,3,3,50,50,13,2,60,73,0,0,0,41,590,0,0,11695,-1
4100,9810.9,9976.8,4515.72,4444.63,2,3,50,50,7,5,60,70,0,0,0,7,1058,0,0,10699,-1
4150,9841.0,10078.4,4579.41,4537.78,3,3,50,50,9,8,60,73,0,0,0,108,594,0,0,11546,-1
4200,9608.5,9905.3,4498.92,4609.03,2,2,50,50,2,6,60,68,0,0,0,5,390,0,0,13170,-1
4250,10038.1,10190.0,4736.29,4538.37,3,3,50,50,16,9,60,67,0,0,0,140,1170,0,0,12054,-1
4300,9890.3,9891.5,4563.75,4545.55,3,3,50,50,7,5,60,75,0,0,0,2,249,0,0,13129,-1
4350,9907.6,9561.8,4616.25,4523.39,3,3,50,50,6,2,60,68,0,0,0,12,399,0,0,11862,-1
4400,10006.8,9795.3,4725.03,4609.05,2,2,50,50,11,6,60,62,0,0,0,0,450,0,0,11549,-1
4450,10116.1,9861.0,4666.27,4573.14,2,3,50,50,7,4,60,60,0,0,0,1,46,0,0,12221,-1
4500,10003.4,9724.9,4861.55,4717.21,3,3,50,50,15,11,60,70,0,0,0,0,47,0,0,12115,-1
4550,10075.1,9960.9,4845.02,4654.88,3,3,50,50,16,8,60,72,0,0,0,6,295,0,0,12877,-1
4600,9962.8,10010.6,4732.15,4644.41,3,3,50,50,10,10,60,64,0,0,0,14,198,0,0,13959,-1
4650,9996.9,9821.3,4804.23,4544.14,2,2,50,50,14,4,60,61,0,0,0,1,55,0,0,12798,-1
4700,9946.7,9998.2,4760.14,4746.42,3,3,50,50,10,10,60,66,0,0,0,0,25,0,0,12637,-1
4750,10004.4,10006.6,4748.99,4754.29,2,3,50,50,9,10,60,70,0,0,0,84,12,0,0,13235,-1
4800,9889.8,10160.4,4621.34,4766.14,3,3,50,50,3,11,60,65,0,0,0,14,2,0,0,12750,-1
4850,9859.1,9953.1,4709.45,4780.78,2,2,50,50,7,12,60,69,0,0,0,8,1,0,0,12513,-1
4900,9956.3,9859.5,4670.97,4659.69,3,3,50,50,8,6,60,66,0,0,0,4,6,0,0,12204,-1
4950,10101.7,9952.7,4676.13,4676.25,3,2,50,50,11,11,60,63,0,0,0,10,4,0,0,13315,-1
